hindfoot_length|weight
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|10
|10
|10
|10
|102
|105
|11
|11
|12
|14
|148
|15
|15
|157
|16
|164
|17
|18
|182
|19
|19
|20
|23
|24
|25
|26
|27
|30
|36
|39
|45
|49
|57
|6
|6
|7
|7
|79
|8
|8
|8
|8
|8
|8
|8
|8
|8
|8
|9
|9
|9
11|11
11|8
12|10
12|7
12|8
12|9
13|10
13|14
13|7
13|8
13|8
13|8
14|10
14|12
14|13
14|5
14|7
14|7
14|7
14|7
14|7
14|7
14|8
14|8
14|8
14|8
14|8
14|8
14|8
14|8
14|9
15|
15|
15|10
15|11
15|11
15|11
15|12
15|12
15|12
15|13
15|23
15|4
15|49
15|5
15|5
15|5
15|5
15|5
15|5
15|6
15|6
15|6
15|6
15|6
15|6
15|6
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|7
15|8
15|8
15|8
15|8
15|8
15|8
15|8
15|9
15|9
15|9
15|9
15|9
15|9
15|9
15|9
15|9
15|9
15|9
15|9
16|
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|10
16|11
16|11
16|11
16|11
16|11
16|11
16|11
16|11
16|11
16|11
16|11
16|12
16|12
16|12
16|12
16|13
16|13
16|13
16|14
16|14
16|14
16|15
16|16
16|16
16|16
16|22
16|28
16|4
16|5
16|6
16|6
16|6
16|6
16|6
16|6
16|6
16|6
16|6
16|6
16|6
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|7
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|8
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
16|9
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|10
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|11
17|12
17|12
17|12
17|12
17|12
17|12
17|12
17|12
17|13
17|13
17|13
17|13
17|13
17|13
17|13
17|13
17|14
17|14
17|14
17|14
17|15
17|15
17|15
17|15
17|16
17|18
17|20
17|20
17|24
17|7
17|7
17|7
17|7
17|8
17|8
17|8
17|8
17|8
17|8
17|9
17|9
17|9
17|9
17|9
17|9
17|9
17|9
17|9
17|9
